Timestamp_ET,Area,Occupancy,Status,Num In,Timestamp_ISO,Date,Hour,Weekday,Weekend
2026-08-07 16:46:35,A1,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,A2,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,A3 Bow (No Crossbow),0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,B,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,Beaver Pond,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,Brooks Hollow,0.0,Open,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,Buckner Bow (No Crossbow),0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,Bull Pond,0.0,Open,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,C,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,CS,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,CS 2 Bow (No Crossbow),0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,Constitution Island,0.0,Open,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,Cragston Lakes,0.0,Open,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,Cranberry Pond,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,D1,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,D2,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,D3,0.0,Closed,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
2026-08-07 16:46:35,E1,0.0,Open,,2026-08-07T16:46:35,2026-08-07,16:46,Fri,False
